"etternavn"	"Personer 2021"
"Harlem"	207
"Harnes"	270
"Harstad"	603
"Harsvik"	209
"Hartmann"	385
"Hartveit"	251
"Hartvigsen"	418
"Hartviksen"	255
"Hasan"	817
"Hasani"	209
"Hashi"	342
"Hasle"	474
"Hassan"	3200
"Hassani"	205
"Hassel"	557
"Hasselberg"	233
"Hasund"	242
"Hatland"	336
"Hatlem"	286
"Hatlen"	394
"Hatlestad"	406
"Hatlevik"	282
"Hatløy"	200
"Hatteland"	240
"Hauan"	560
"Haug"	4960
"Haugan"	2042
"Hauge"	6302
"Haugen"	14035
"Hauger"	667
"Haugerud"	995
"Haugland"	5732
"Haugli"	641
"Hauglid"	218
"Haugnes"	398
"Haugo"	262
"Haugom"	415
"Haugsdal"	368
"Haugseth"	445
"Haugstad"	856
"Haugsvær"	270
"Haugum"	274
"Haugvaldstad"	340
"Haukaas"	356
"Haukedal"	233
"Haukeland"	696
"Haukenes"	248
"Haukland"	487
"Haukås"	847
"Hausken"	425
"Hauso"	202
"Haveland"	289
"Haver"	283
"Havik"	243
"Havn"	372
"Havnen"	208
"Hay"	298
"Hebnes"	353
"Heen"	534
"Hegdal"	297
"Hegg"	384
"Heggdal"	484
"Hegge"	698
"Heggedal"	275
"Heggelund"	1029
"Heggem"	644
"Heggen"	712
"Heggernes"	294
"Heggestad"	229
"Heggheim"	372
"Heggland"	568
"Hegglund"	208
"Heggset"	.
"Heggøy"	306
"Hegland"	454
"Hegna"	538
"Hegre"	254
"Hegstad"	356
"Heia"	369
"Heiberg"	632
"Heidari"	219
"Heide"	436
"Heien"	375
"Heier"	536
"Heim"	256
"Heimdal"	1081
"Heimstad"	261
"Heistad"	215
"Heitmann"	702
"Helberg"	359
"Heldal"	469
"Helgeland"	952
"Helgerud"	404
"Helgesen"	3388
"Helgestad"	268
"Helgheim"	279
"Helgøy"	215
"Hella"	273
"Hellan"	.
"Helland"	4317
"Helle"	2110
"Hellebust"	331
"Hellebø"	203
